day,img_id,audio_id
01,1U5qCAgQSICrinGUv_4oFkTqq_ZxeQDdL,1TEbVt46dFGMvVQ45FIpNtMlUCpBhmfLs
02,1C_OMUEBAVxjEzyieOYHz-ipicFRecmc9,1vQWu8_eQrtM3Hn3-iHIZZTumt27i88EE
03,16x3TbFJ33CgXx7dMYpDlGz8lc_hQQVu8,1n1kjif3JM6NMTck1hqPRYff4NHEHg0Vn
04,1XrY9qdZi783Lo1P-hqgGKOc133dO1WRT,1DZsPHcxaK7ieaP5c2m6C3ifW_e2k0dsP
05,1LUvMyFCOwilOB-Y_egwQWp6GAH9bYNwf,19L9m1ZGyUvld0twBY6Jj0Uma6POhV20J
06,1G49X5AJMfFDqJjQglDpwfwk3Jw54lePO,1In3kegoIfSXkxvXgLXcKnXl1Bt6WWXR7
07,1j1H6GaSH4StQ13lPKV4xIS0YjL0Nb-RM,1qYN3J-Yb06iYNP-Ql4Si80lBMa0EtbkC
08,1FBqp0ZvmoA-gQpx4-heduykKsudSmhVc,1tgVkcXZHbYtgFY34_Wfg1z738OL4Hs-Z
09,10c6XJBljUuBKnXy_JHk1IEB1uP6cpK1m,1Te0kjuZHG9j-o0GkVGiG08kMxLxrXV_C
10,1xmgty6Axq5B41gb2aWNjWVG8NpSyCwXf,1QnfssRznt8-W-ysKZJ0ALDyCegc30xig
11,1kmZx2AOTqZf3roFpqy13ERzoqpc5LF6B,1Gywe9LEAPOjzYTQwRnM2gowp5xTr5t3A
12,18yqrZ3-rY_xkg_0Dna8XVp1s0_cgXw1q,17oiCMJxZe-pgFIP4uhjwQu2xa2LS2KdE
13,1vylN2SV-DciML_EoMhD7HmavPkx080KN,1h8emLhupCgwyfgHHdhRcJ05t5tvmxNeY
14,1cpz3y40m8GpETfQTSFJE2D9WQit0hnW4,171Ns-bAYCK5n11qSfSwbYobzRDnS93dD
15,1IhLY2Rj1qipHp5m3H917g83MYw3QiAHf,1t_HRx0V6rCp7KOe6JOimScBT5JbpZQIJ
16,1mw0fvjZPAs4GmJeeKTWXn7T6pwthkuVY,17heSL6S55YCThY-hI1BVyVBOTpY5Skvs
17,1Iia9FzjNpzPejA2OExZyNwVy1W0h2OXT,1bVJUz6dhqEuPcliGPDmoynSAiHvmhRtX
18,1XcPiFODfWXkOHxucKrNdSP6sg5uKdnir,14sVoEnsUHnG2qEAp6PKHt3-gALzofxxE
19,1AerlxeaURgjhPd61XQB1Jt912o84xi9o,1rZZ_BSbCneFmhWwqj55tNe8m8xu_JIb2
20,1EN-BlwFu_k-OfU2pmEz8UQJj98t85I8K,1ox4Psy7-KYnTRmhDbBr1_yJ3DvrXdWYd
21,10xU-5l9mD6mSqAH-2zMHwPtFAfi0M3Ef,1DoIA21ZeWgJTSsymOSTT3897pAEcY02H
22,1MjOVC9s__wzawzj-FXrbQHwiguY2avY3,13ndbh2NFOjERMf1C87wskkzNSEOSnszG
23,1FN5rvvchyjnvuE7NpJP6G8nAO_QPuNxG,1k6BvmmnWrO6QEyf_KgeAtS9-2O2nxhvc
24,1K2v30EGJNYlmWOJjKDOxfjyjCBWBmWUz,13MGH95cNNCfN9Wezq8yBcbjXh1HNlO9v
